policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,124,292,4.36,0.0,optimal,0,0,4.588852599999996,4.578125
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,143,313,4.44,0.0,optimal,0,0,4.690436500000004,4.609375
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,123,342,4.0,0.0,optimal,0,0,4.278712900000016,4.21875
gcnn:baseline,depthK2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,122,301,4.11,0.0,optimal,0,0,4.30483319999999,4.25
gcnn:baseline,depthK2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,156,377,4.58,0.0,optimal,0,0,4.7028272000000015,4.71875
gcnn:baseline,depthK2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,160,326,4.83,0.0,optimal,0,0,5.0926449000000105,5.046875
gcnn:baseline,depthK2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,160,346,4.75,0.0,optimal,0,0,4.856037299999997,4.859375
gcnn:baseline,depthK2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,133,378,4.14,0.0,optimal,0,0,4.315581899999984,4.328125
gcnn:baseline,depthK_adaptive,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,190,417,4.97,0.0,optimal,0,0,5.291323900000009,5.265625
gcnn:baseline,depthK_adaptive,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,161,329,4.68,0.0,optimal,0,0,4.844457900000009,4.78125
gcnn:baseline,depthK_adaptive,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,151,374,4.84,0.0,optimal,0,0,5.079349100000002,5.046875
gcnn:baseline,depthK_adaptive,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,226,453,5.26,0.0,optimal,0,0,5.616884199999987,5.59375
gcnn:baseline,depthK_adaptive,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,145,341,4.21,0.0,optimal,0,0,4.4405261,4.375
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,134,328,4.09,0.0,optimal,0,0,4.495216699999958,4.421875
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,152,383,4.36,0.0,optimal,0,0,4.603550400000017,4.5625
