policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,107,253,5.15,0.0,optimal,0,0,5.440188099999999,5.4375
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,98,232,4.76,0.0,optimal,0,0,4.913453299999999,4.921875
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,101,269,4.78,0.0,optimal,0,0,4.9395240000000005,4.90625
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,103,341,5.11,0.0,optimal,0,0,5.234386000000001,5.203125
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,98,276,4.7,0.0,optimal,0,0,4.942747499999999,4.890625
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,102,288,4.85,0.0,optimal,0,0,5.0839605999999975,5.046875
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,97,316,4.86,0.0,optimal,0,0,5.032405399999995,5.015625
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,93,267,4.72,0.0,optimal,0,0,4.865585299999999,4.84375
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,109,303,5.09,0.0,optimal,0,0,5.259541200000001,5.25
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,97,330,4.85,0.0,optimal,0,0,5.009664800000003,4.96875
gcnn:baseline,depthK2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,99,313,4.96,0.0,optimal,0,0,5.063927299999996,5.0625
gcnn:baseline,depthK2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,105,295,4.97,0.0,optimal,0,0,5.07683990000001,5.046875
gcnn:baseline,depthK2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,101,275,4.81,0.0,optimal,0,0,4.917746199999996,4.921875
gcnn:baseline,depthK2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,104,247,4.91,0.0,optimal,0,0,5.068101499999997,5.0625
gcnn:baseline,depthK2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,101,237,4.67,0.0,optimal,0,0,4.854806199999999,4.84375
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,213,502,6.44,0.0,optimal,0,0,6.7358964000000014,6.71875
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,203,378,6.22,0.0,optimal,0,0,6.366161699999992,6.375
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,203,433,6.56,0.0,optimal,0,0,6.821015499999987,6.75
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,221,415,6.62,0.0,optimal,0,0,6.866664699999987,6.828125
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,205,401,6.08,0.0,optimal,0,0,6.317762599999995,6.25
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,227,442,6.52,0.0,optimal,0,0,6.724202000000005,6.6875
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,217,427,6.47,0.0,optimal,0,0,6.7159321999999975,6.703125
