policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,581,1017,11.61,0.0,optimal,0,0,12.1812343,12.046875
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,467,895,10.17,0.0,optimal,0,0,10.606427700000012,10.53125
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,551,992,10.69,0.0,optimal,0,0,11.216160299999956,11.109375
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,533,967,10.94,0.0,optimal,0,0,11.706461100000013,11.609375
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,501,1021,10.72,0.0,optimal,0,0,11.28290290000001,11.21875
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,283,511,5.83,0.0,optimal,0,0,6.16443129999999,6.140625
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,313,571,6.55,0.0,optimal,0,0,6.9846368000000325,6.84375
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,299,555,6.71,0.0,optimal,0,0,7.095949099999984,7.0625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,295,575,7.28,0.0,optimal,0,0,7.515476400000011,7.546875
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,305,533,6.36,0.0,optimal,0,0,6.638937800000008,6.625
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_9.lp,255,463,5.86,0.0,optimal,0,0,6.185275199999978,6.203125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_9.lp,245,489,5.76,0.0,optimal,0,0,6.038385199999993,6.0625
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_9.lp,237,448,5.78,0.0,optimal,0,0,6.0211325000000215,6.046875
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_9.lp,227,443,5.42,0.0,optimal,0,0,5.849238800000023,5.765625
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_9.lp,239,434,5.58,0.0,optimal,0,0,5.968718800000033,5.875
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_10.lp,89,243,3.44,0.0,optimal,0,0,3.658910100000014,3.609375
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_10.lp,87,278,3.64,0.0,optimal,0,0,3.773211099999969,3.765625
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_10.lp,107,313,3.7,0.0,optimal,0,0,3.8886898000000087,3.84375
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_10.lp,93,221,3.55,0.0,optimal,0,0,3.737054099999966,3.734375
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_10.lp,87,258,3.6,0.0,optimal,0,0,3.683125899999993,3.703125
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_11.lp,135,307,4.84,0.0,optimal,0,0,5.087994100000003,5.03125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_11.lp,125,287,4.74,0.0,optimal,0,0,4.873621599999979,4.875
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_11.lp,125,295,4.75,0.0,optimal,0,0,4.9629542999999785,4.90625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_11.lp,141,267,4.81,0.0,optimal,0,0,4.943928500000027,4.9375
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_11.lp,129,286,4.67,0.0,optimal,0,0,4.810143400000015,4.84375
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_12.lp,473,712,8.59,0.0,optimal,0,0,9.127271699999994,9.078125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_12.lp,525,791,9.24,0.0,optimal,0,0,9.586677100000031,9.625
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_12.lp,435,730,8.11,0.0,optimal,0,0,8.612791600000037,8.578125
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_12.lp,489,758,8.5,0.0,optimal,0,0,9.167989499999976,9.125
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_12.lp,479,755,8.53,0.0,optimal,0,0,9.100376600000004,8.953125
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_13.lp,25,126,2.66,0.0,optimal,0,0,2.736143199999958,2.71875
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_13.lp,25,90,2.73,0.0,optimal,0,0,2.7822332000000074,2.765625
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_13.lp,23,89,2.64,0.0,optimal,0,0,2.750477999999987,2.734375
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_13.lp,23,87,2.59,0.0,optimal,0,0,2.622887800000001,2.625
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_13.lp,23,128,2.67,0.0,optimal,0,0,2.757015700000011,2.75
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_14.lp,1400,1902,19.84,0.0,optimal,0,0,21.084788899999978,20.78125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_14.lp,1608,1919,21.22,0.0,optimal,0,0,22.705445300000008,22.3125
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_14.lp,1361,1976,19.72,0.0,optimal,0,0,20.82049820000003,20.5625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_14.lp,1387,1860,19.11,0.0,optimal,0,0,20.652192100000093,20.25
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_14.lp,2007,2743,26.83,0.0,optimal,0,0,28.66700199999991,28.09375
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_15.lp,133,324,4.66,0.0,optimal,0,0,4.876760900000022,4.828125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_15.lp,137,326,4.73,0.0,optimal,0,0,4.903210799999897,4.921875
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_15.lp,137,345,4.75,0.0,optimal,0,0,4.953970099999992,4.9375
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_15.lp,145,369,4.86,0.0,optimal,0,0,5.041656000000103,5.046875
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_15.lp,147,385,4.48,0.0,optimal,0,0,4.6676047999999355,4.640625
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_16.lp,73,190,3.19,0.0,optimal,0,0,3.346524600000066,3.328125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_16.lp,83,258,3.53,0.0,optimal,0,0,3.6407303999999385,3.640625
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_16.lp,67,176,3.48,0.0,optimal,0,0,3.4984124000000065,3.515625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_16.lp,61,183,3.17,0.0,optimal,0,0,3.2670826999999463,3.21875
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_16.lp,67,205,3.47,0.0,optimal,0,0,3.575659799999926,3.5625
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_17.lp,61,171,3.58,0.0,optimal,0,0,3.737950299999966,3.71875
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_17.lp,65,197,3.67,0.0,optimal,0,0,3.8825262000000293,3.859375
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_17.lp,63,239,3.54,0.0,optimal,0,0,3.698913300000072,3.625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_17.lp,69,226,3.69,0.0,optimal,0,0,3.7720447000000377,3.78125
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_17.lp,69,231,3.77,0.0,optimal,0,0,3.9098996999999827,3.90625
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_18.lp,598,937,10.39,0.0,optimal,0,0,11.144532499999968,11.015625
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_18.lp,600,952,10.07,0.0,optimal,0,0,11.035412700000052,10.71875
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_18.lp,566,872,9.96,0.0,optimal,0,0,10.6484635999999,10.484375
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_18.lp,583,911,9.86,0.0,optimal,0,0,10.774252500000102,10.453125
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_18.lp,684,1067,11.11,0.0,optimal,0,0,12.014398899999946,11.78125
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_19.lp,91,227,3.07,0.0,optimal,0,0,3.314950099999919,3.25
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_19.lp,95,232,3.23,0.0,optimal,0,0,3.433007499999917,3.390625
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_19.lp,83,213,3.14,0.0,optimal,0,0,3.3526112999999214,3.3125
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_19.lp,97,283,3.33,0.0,optimal,0,0,3.564553499999988,3.546875
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_19.lp,91,213,3.12,0.0,optimal,0,0,3.298560500000008,3.328125
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_20.lp,4653,5629,58.39,0.0,optimal,0,0,62.38729670000009,61.171875
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_20.lp,5185,6492,64.69,0.0,optimal,0,0,68.88812459999997,67.828125
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_20.lp,4805,5757,59.13,0.0,optimal,0,0,63.01940939999997,62.125
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_20.lp,4423,5447,55.46,0.0,optimal,0,0,58.691068499999915,58.046875
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_20.lp,5098,6195,63.87,0.0,optimal,0,0,68.1284083999999,66.96875
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1167,1857,24.96,0.0,optimal,0,0,26.17469619999997,25.96875
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,958,1581,22.09,0.0,optimal,0,0,22.982866100000138,22.84375
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,974,1481,21.0,0.0,optimal,0,0,22.17981800000007,22.0
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,934,1438,21.56,0.0,optimal,0,0,22.64828710000006,22.5625
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1188,1873,25.07,0.0,optimal,0,0,26.25230519999991,25.921875
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3675,4723,58.47,0.0,optimal,0,0,61.59803249999982,60.875
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,5745,7660,87.47,0.0,optimal,0,0,92.9725034999999,91.015625
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3845,5275,60.84,0.0,optimal,0,0,64.25167110000007,63.421875
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3487,4652,55.63,0.0,optimal,0,0,58.72558559999993,57.9375
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3835,4948,59.05,0.0,optimal,0,0,62.679379900000185,61.609375
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_3.lp,8027,9671,115.84,0.0,optimal,0,0,123.65755220000005,121.046875
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_3.lp,9685,11356,138.78,0.0,optimal,0,0,147.5281728,145.25
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_3.lp,7930,9468,114.58,0.0,optimal,0,0,122.2214391,120.234375
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_3.lp,7435,8850,108.31,0.0,optimal,0,0,115.3885408000001,112.734375
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_3.lp,8625,10230,125.08,0.0,optimal,0,0,132.95127750000006,131.46875
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_4.lp,15526,18110,224.34,0.0,optimal,0,0,238.0967211000002,234.484375
