policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,217,497,6.77,0.0,optimal,0,0,7.1964652000000005,7.15625
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,231,477,9.19,0.0,optimal,0,0,13.026619799999999,13.0
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,219,448,8.88,0.0,optimal,0,0,12.355190499999999,12.3125
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,201,405,6.23,0.0,optimal,0,0,6.488214499999998,6.515625
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,255,546,6.83,0.0,optimal,0,0,7.1655947,7.1875
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,241,428,6.42,0.0,optimal,0,0,6.673795900000002,6.703125
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,227,470,6.29,0.0,optimal,0,0,6.666315900000001,6.625
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,225,465,6.34,0.0,optimal,0,0,6.749959099999998,6.71875
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,223,453,6.55,0.0,optimal,0,0,6.706381800000003,6.71875
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,221,474,6.26,0.0,optimal,0,0,6.630974300000005,6.578125
gcnn:baseline,depthK2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,221,406,6.34,0.0,optimal,0,0,6.522488800000005,6.515625
gcnn:baseline,depthK2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,199,390,5.86,0.0,optimal,0,0,6.128390100000004,6.15625
gcnn:baseline,depthK2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,221,413,6.65,0.0,optimal,0,0,7.32734769999999,7.328125
gcnn:baseline,depthK2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,213,435,6.46,0.0,optimal,0,0,7.336991699999999,7.296875
gcnn:baseline,depthK2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,257,524,7.02,0.0,optimal,0,0,7.969643399999995,7.9375
gcnn:baseline,depthK_adaptive,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,253,465,6.71,0.0,optimal,0,0,7.822858499999995,7.796875
gcnn:baseline,depthK_adaptive,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,239,448,6.72,0.0,optimal,0,0,7.563759000000005,7.578125
gcnn:baseline,depthK_adaptive,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,237,447,6.69,0.0,optimal,0,0,7.641788100000014,7.609375
gcnn:baseline,depthK_adaptive,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,207,455,6.24,0.0,optimal,0,0,6.7019942000000015,6.65625
gcnn:baseline,depthK_adaptive,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,245,487,6.42,0.0,optimal,0,0,6.892735399999992,6.78125
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,196,444,5.4,0.0,optimal,0,0,5.735178300000001,5.71875
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,132,323,4.46,0.0,optimal,0,0,4.638898100000006,4.609375
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,124,310,5.35,0.0,optimal,0,0,5.841157999999979,5.828125
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,148,379,4.89,0.0,optimal,0,0,5.177314100000018,5.125
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,138,326,4.59,0.0,optimal,0,0,4.816635600000012,4.765625
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,116,287,4.31,0.0,optimal,0,0,4.599349199999978,4.640625
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,163,346,4.76,0.0,optimal,0,0,4.9772971000000155,4.953125
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,124,292,4.75,0.0,optimal,0,0,4.99595149999999,4.984375
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,143,313,4.88,0.0,optimal,0,0,5.098894999999999,5.046875
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,123,342,4.49,0.0,optimal,0,0,4.635677100000009,4.609375
gcnn:baseline,depthK2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,122,301,4.44,0.0,optimal,0,0,4.653221500000001,4.640625
gcnn:baseline,depthK2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,156,377,4.86,0.0,optimal,0,0,5.0884682000000225,5.046875
gcnn:baseline,depthK2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,160,326,7.07,0.0,optimal,0,0,9.753102799999994,9.71875
