policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,depthK,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,4531,5732,67.75,0.0,optimal,0,0,71.46509860000003,70.609375
gcnn:baseline,depthK,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,4029,5017,60.98,0.0,optimal,0,0,63.95688659999996,63.453125
gcnn:baseline,depthK,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,4249,5511,66.18,0.0,optimal,0,0,69.88521909999986,68.953125
gcnn:baseline,depthK,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,4121,5583,63.89,0.0,optimal,0,0,67.50400579999996,66.28125
gcnn:baseline,depthK2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3727,4563,57.18,0.0,optimal,0,0,60.73139100000003,59.3125
gcnn:baseline,depthK2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3553,4672,55.09,0.0,optimal,0,0,58.814603199999965,57.34375
gcnn:baseline,depthK2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,4149,5425,63.47,0.0,optimal,0,0,66.71522590000018,65.640625
gcnn:baseline,depthK2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,4149,5577,64.72,0.0,optimal,0,0,68.31135069999982,67.484375
gcnn:baseline,depthK2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3599,4734,56.36,0.0,optimal,0,0,59.78019560000007,59.0
gcnn:baseline,depthK_adaptive,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3764,4766,60.19,0.0,optimal,0,0,62.96523120000006,62.1875
gcnn:baseline,depthK_adaptive,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3587,4881,57.35,0.0,optimal,0,0,60.51121510000007,59.65625
gcnn:baseline,depthK_adaptive,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3973,5404,62.38,0.0,optimal,0,0,65.27584879999995,64.40625
gcnn:baseline,depthK_adaptive,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3911,5222,60.91,0.0,optimal,0,0,64.12334139999984,63.53125
gcnn:baseline,depthK_adaptive,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,4077,5423,63.87,0.0,optimal,0,0,67.27015329999995,66.390625
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,3675,4723,58.31,0.0,optimal,0,0,61.42768439999986,60.625
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,5745,7660,87.96,0.0,optimal,0,0,92.52436509999984,91.671875
